workout_id,session_date,num_exercises,total_rounds,reps_volume,time_volume_sec,amrap_sets,time_volume_min
1,2026-01-31,8,24,259.0,120.0,1,2.0
2,2026-02-02,6,19,181.0,300.0,0,5.0
3,2026-02-09,8,28,325.0,75.0,0,1.25
4,2026-02-13,15,47,359.0,450.0,0,7.5
5,2026-02-17,12,38,259.0,360.0,0,6.0
6,2026-02-20,10,34,318.0,210.0,0,3.5
7,2026-02-22,12,40,232.0,660.0,0,11.0
8,2026-03-02,8,28,322.0,90.0,0,1.5
9,2026-03-04,8,28,322.0,90.0,0,1.5
10,2026-03-06,13,42,430.0,180.0,0,3.0
11,2026-03-20,7,25,276.0,0.0,0,0.0
12,2026-03-22,9,32,286.0,270.0,0,4.5
13,2026-03-23,8,22,249.0,0.0,1,0.0
14,2026-03-24,13,41,306.0,360.0,0,6.0
15,2026-03-25,8,25,276.0,90.0,0,1.5
16,2026-03-26,7,23,288.0,90.0,0,1.5
17,2026-03-28,7,19,156.0,180.0,1,3.0
18,2026-04-01,11,33,294.0,270.0,0,4.5
19,2026-04-04,10,34,348.0,120.0,0,2.0
20,2026-04-08,10,32,206.0,435.0,0,7.25
21,2026-04-30,10,33,310.0,360.0,0,6.0
22,2026-05-08,11,37,278.0,255.0,0,4.25
23,2026-05-16,12,37,291.0,300.0,0,5.0
24,2026-05-23,8,30,311.0,90.0,0,1.5
25,2026-05-29,12,37,368.0,270.0,0,4.5
26,2026-06-09,12,38,418.0,180.0,0,3.0
27,2026-06-27,8,25,156.0,375.0,0,6.25
28,2026-06-29,9,32,298.0,270.0,0,4.5
