workout_id,workout_date,workout_type_id,exercise_id,workout_rounds,workout_repetition_type,workout_repetition_amount,workout_type_name,workout_exercise_name
1,2026-01-31,2,21,3,reps,12,lower body,explosive leg press
1,2026-01-31,2,22,1,amrap,amrap,lower body,1.5 rep leg press
1,2026-01-31,2,23,3,reps,8,lower body,tempo hip thrust
1,2026-01-31,2,24,3,reps,15,lower body,single arm double kb swing
1,2026-01-31,2,25,3,reps,10,lower body,stiff leg deadlift with extension
1,2026-01-31,2,26,4,time,30 sec,lower body,step up squat
1,2026-01-31,2,27,4,reps,16,lower body,weighted box step up transfer
1,2026-01-31,2,28,3,reps,20,lower body,calf raises on leg press
2,2026-02-02,1,1,4,reps,16,full body,High-to-Low Woodchopper
2,2026-02-02,1,2,3,time,1 min,full body,Plank Jack to Sit Back
2,2026-02-02,1,3,3,reps,15,full body,Goblet Complex
2,2026-02-02,1,4,3,reps,12,full body,Alternating Renegade Row
2,2026-02-02,1,5,3,reps,12,full body,Plate Snatch to Lunge
2,2026-02-02,1,6,3,time,40 sec,full body,Plate Overhead Alternating Squat Tap
3,2026-02-09,1,29,3,reps,14,full body,Alternating Reverse Lunge
3,2026-02-09,1,61,3,reps,15,full body,Double Dumbbell Clean
3,2026-02-09,1,30,4,reps,10,full body,Half Kneeling Ball Slam
3,2026-02-09,1,31,6,reps,12,full body,Single Arm Rotational Row
3,2026-02-09,1,32,3,reps,14,full body,Assisted Transfer Push Up
3,2026-02-09,1,33,3,time,25 seconds,full body,Explosive Squat
3,2026-02-09,1,96,3,reps,14,full body,Skaters
3,2026-02-09,1,4,3,reps,14,full body,Alternating Renegade Row
4,2026-02-13,1,34,3,reps,10,full body,Seated Pull-Up
4,2026-02-13,1,35,3,reps,16,full body,Half Kneeling Alternating Kettlebell Press
4,2026-02-13,1,36,3,reps,12,full body,Pendulum Clean
4,2026-02-13,1,37,3,reps,6,full body,Double Dumbbell Complex
4,2026-02-13,1,38,4,reps,10,full body,Side Plank Clamshell Cable Row
4,2026-02-13,1,97,3,reps,14,full body,Front Rack Walking Lunges to Knee Drive
4,2026-02-13,1,39,4,reps,10,full body,Pallof Press to Overhead Lift
4,2026-02-13,1,40,3,reps,8,full body,Inchworm
4,2026-02-13,1,41,3,reps,15,full body,Snow Angel Raise
4,2026-02-13,1,42,3,reps,12,full body,Rear Delt Pull on Incline Bench
4,2026-02-13,1,43,3,time,30 seconds,full body,High Knees Sprint
4,2026-02-13,1,44,3,time,30 seconds,full body,Squat Thrust
4,2026-02-13,1,45,3,time,30 seconds,full body,Box Jump
4,2026-02-13,1,46,3,time,30 seconds,full body,Box Step Up Transfer
4,2026-02-13,1,47,3,time,30 seconds,full body,Kick Sit
5,2026-02-17,1,48,3,reps,8,full body,Dip
5,2026-02-17,1,49,3,reps,5,full body,Chest Press
5,2026-02-17,1,50,3,reps,10,full body,Alternating Chest Press
5,2026-02-17,1,51,3,reps,16,full body,Top Down Gorilla Row
5,2026-02-17,1,52,3,time,30 sec,full body,Bosu Ball Cross Body Knee Drive
5,2026-02-17,1,53,3,reps,10,full body,Inverted Row
5,2026-02-17,1,54,4,reps,6,full body,Single Arm Push Press with OH Hold
5,2026-02-17,1,55,4,reps,10,full body,Lunge Stance Woodchopper
5,2026-02-17,1,56,3,time,30 sec,full body,Forward Kick Sit
5,2026-02-17,1,57,3,time,30 sec,full body,Drunken Mountain Climber
5,2026-02-17,1,9,3,time,30 sec,full body,Monster Walk
5,2026-02-17,1,97,3,reps,16,full body,Front Rack Walking Lunges to Knee Drive
6,2026-02-20,1,58,3,reps,10,full body,Squat to Thrust
6,2026-02-20,1,59,3,reps,10,full body,Plate Overhead 1.5 Rep Squat
6,2026-02-20,1,60,6,reps,12,full body,Single Arm Dumbbell Row on Bench
6,2026-02-20,1,61,3,reps,12,full body,Double Dumbbell Clean
6,2026-02-20,1,62,3,time,30 sec,full body,Chameleon Sit Back with Alternating Knee Tap
6,2026-02-20,1,63,4,time,30 sec,full body,Side Plank Reach Through
6,2026-02-20,1,64,3,reps,10,full body,Stability Ball Deadbug
6,2026-02-20,1,65,3,reps,12,full body,Hip Thrust
6,2026-02-20,1,66,3,reps,14,full body,Suitcase Dumbbell Box Step Up
6,2026-02-20,1,67,3,reps,14,full body,Crunch
7,2026-02-22,1,68,3,reps,12,full body,Lunging Landmine Switch
7,2026-02-22,1,69,3,reps,12,full body,Plate Halo Snatch
7,2026-02-22,1,70,3,time,30 sec,full body,Squat Chest Throw
7,2026-02-22,1,71,3,time,30 sec,full body,Squat Thrust to High Knee
7,2026-02-22,1,72,3,time,30 sec,full body,Alternating Kneel to Knee Drive
7,2026-02-22,1,73,3,time,30 sec,full body,Alternating Jumping Lunge
7,2026-02-22,1,74,3,time,30 sec,full body,Bear Sit Back with Knee Drive
7,2026-02-22,1,75,3,time,30 sec,full body,Squat Press
7,2026-02-22,1,23,4,reps,16,full body,tempo hip thrust
7,2026-02-22,1,31,4,reps,12,full body,Single Arm Rotational Row
7,2026-02-22,1,54,4,reps,12,full body,Single Arm Push Press with OH Hold
7,2026-02-22,1,12,4,time,30 sec,full body,Lateral Banded KB Front Rack Squat Walk
8,2026-03-02,1,76,4,reps,12,full body,Incline Press
8,2026-03-02,1,77,3,reps,14,full body,Kayak Lat Pulldown
8,2026-03-02,1,80,4,reps,14,full body,Tall Kneeling Supinating Dumbbell Curl to Arnold Press
8,2026-03-02,1,78,3,reps,12,full body,Narrow Stance Dumbbell Power Clean
8,2026-03-02,1,5,3,reps,12,full body,Plate Snatch to Lunge
8,2026-03-02,1,97,4,reps,16,full body,Front Rack Walking Lunges to Knee Drive
8,2026-03-02,1,1,4,reps,10,full body,High-to-Low Woodchopper
8,2026-03-02,1,52,3,time,30 sec,full body,Bosu Ball Cross Body Knee Drive
9,2026-03-04,1,79,4,reps,10,full body,High to Low Woodchopper
9,2026-03-04,1,80,4,reps,14,full body,Tall Kneeling Supinating Dumbbell Curl to Arnold Press
9,2026-03-04,1,78,3,reps,12,full body,Narrow Stance Dumbbell Power Clean
9,2026-03-04,1,5,3,reps,12,full body,Plate Snatch to Lunge
9,2026-03-04,1,97,4,reps,16,full body,Front Rack Walking Lunges to Knee Drive
9,2026-03-04,1,76,4,reps,12,full body,Incline Press
9,2026-03-04,1,77,3,reps,14,full body,Kayak Lat Pulldown
9,2026-03-04,1,52,3,time,30 sec,full body,Bosu Ball Cross Body Knee Drive
10,2026-03-06,1,81,4,reps,12,full body,Squat
10,2026-03-06,1,82,3,reps,16,full body,Side to Side Single Arm Kettlebell Swing
10,2026-03-06,1,83,2,reps,15,full body,Resistance Band Seated Hip Abduction
10,2026-03-06,1,84,4,reps,10,full body,Kettlebell Contralateral Squat
10,2026-03-06,1,85,3,reps,14,full body,Dumbbell Pendulum Clean
10,2026-03-06,1,86,4,reps,12,full body,Single Leg Deadlift
10,2026-03-06,1,87,3,time,30 sec,full body,Lateral Step Over
10,2026-03-06,1,88,3,reps,10,full body,Push Up
10,2026-03-06,1,89,3,reps,6,full body,Pull Up
10,2026-03-06,1,90,3,time,30 sec,full body,Kettlebell Halo
10,2026-03-06,1,23,4,reps,12,full body,tempo hip thrust
10,2026-03-06,1,76,3,reps,14,full body,Incline Press
10,2026-03-06,1,35,3,reps,12,full body,Half Kneeling Alternating Kettlebell Press
11,2026-03-20,2,91,4,reps,12,lower body,Front Squat
11,2026-03-20,2,92,4,reps,8,lower body,Prisoner Squat to Heel Tap
11,2026-03-20,2,78,3,reps,12,lower body,Narrow Stance Dumbbell Power Clean
11,2026-03-20,2,93,4,reps,12,lower body,Single Arm Deadlift
11,2026-03-20,2,94,4,reps,10,lower body,Lateral Lunge
11,2026-03-20,2,95,3,reps,12,lower body,Alternating Single Arm Double Kettlebell Swing
11,2026-03-20,2,65,3,reps,12,lower body,Hip Thrust
11,2026-03-20,2,65,3,reps,12,lower body,Hip Thrust
12,2026-03-22,1,81,4,reps,12,full body,Squat
12,2026-03-22,1,64,3,reps,10,full body,Stability Ball Deadbug
12,2026-03-22,1,50,3,reps,10,full body,Alternating Chest Press
12,2026-03-22,1,60,6,reps,12,full body,Single Arm Dumbbell Row on Bench
12,2026-03-22,1,34,3,reps,10,full body,Seated Pull-Up
12,2026-03-22,1,61,3,reps,12,full body,Double Dumbbell Clean
12,2026-03-22,1,2,3,time,1 min,full body,Plank Jack to Sit Back
12,2026-03-22,1,30,4,reps,10,full body,Half Kneeling Ball Slam
12,2026-03-22,1,45,3,time,30 seconds,full body,Box Jump
13,2026-03-23,1,24,3,reps,15,full body,single arm double kb swing
13,2026-03-23,1,48,3,reps,8,full body,Dip
13,2026-03-23,1,22,1,amrap,amrap,full body,1.5 rep leg press
13,2026-03-23,1,36,3,reps,12,full body,Pendulum Clean
13,2026-03-23,1,68,3,reps,12,full body,Lunging Landmine Switch
13,2026-03-23,1,37,3,reps,6,full body,Double Dumbbell Complex
13,2026-03-23,1,66,3,reps,14,full body,Suitcase Dumbbell Box Step Up
13,2026-03-23,1,82,3,reps,16,full body,Side to Side Single Arm Kettlebell Swing
14,2026-03-24,1,96,3,reps,10,full body,Skaters
14,2026-03-24,1,73,3,time,30 sec,full body,Alternating Jumping Lunge
14,2026-03-24,1,24,3,reps,15,full body,single arm double kb swing
14,2026-03-24,1,49,3,reps,5,full body,Chest Press
14,2026-03-24,1,70,3,time,30 sec,full body,Squat Chest Throw
14,2026-03-24,1,59,3,reps,10,full body,Plate Overhead 1.5 Rep Squat
14,2026-03-24,1,85,3,reps,14,full body,Dumbbell Pendulum Clean
14,2026-03-24,1,80,4,reps,14,full body,Tall Kneeling Supinating Dumbbell Curl to Arnold Press
14,2026-03-24,1,39,4,reps,10,full body,Pallof Press to Overhead Lift
14,2026-03-24,1,48,3,reps,8,full body,Dip
14,2026-03-24,1,40,3,reps,8,full body,Inchworm
14,2026-03-24,1,45,3,time,30 seconds,full body,Box Jump
14,2026-03-24,1,46,3,time,30 seconds,full body,Box Step Up Transfer
15,2026-03-25,1,86,4,reps,12,full body,Single Leg Deadlift
15,2026-03-25,1,34,3,reps,10,full body,Seated Pull-Up
15,2026-03-25,1,70,3,time,30 sec,full body,Squat Chest Throw
15,2026-03-25,1,51,3,reps,16,full body,Top Down Gorilla Row
15,2026-03-25,1,82,3,reps,16,full body,Side to Side Single Arm Kettlebell Swing
15,2026-03-25,1,77,3,reps,14,full body,Kayak Lat Pulldown
15,2026-03-25,1,11,3,reps,10,full body,Romanian Deadlift
15,2026-03-25,1,7,3,reps,10,full body,Rebound Box Jump
16,2026-03-26,2,97,4,reps,15,lower body,Front Rack Walking Lunges to Knee Drive
16,2026-03-26,2,65,3,reps,12,lower body,Hip Thrust
16,2026-03-26,2,76,2,reps,10,lower body,Incline Press
16,2026-03-26,1,86,4,reps,12,full body,Single Leg Deadlift
16,2026-03-26,1,65,3,reps,12,full body,Hip Thrust
16,2026-03-26,1,74,3,time,30 sec,full body,Bear Sit Back with Knee Drive
16,2026-03-26,1,27,4,reps,16,full body,weighted box step up transfer
16,2026-03-26,1,28,3,reps,20,full body,calf raises on leg press
17,2026-03-28,2,87,3,time,30 sec,lower body,Lateral Step Over
17,2026-03-28,2,15,3,reps,10,lower body,Squat Jump
17,2026-03-28,2,65,3,reps,12,lower body,Hip Thrust
17,2026-03-28,2,28,3,reps,20,lower body,calf raises on leg press
17,2026-03-28,2,43,3,time,30 seconds,lower body,High Knees Sprint
17,2026-03-28,2,22,1,amrap,amrap,lower body,1.5 rep leg press
17,2026-03-28,2,28,3,reps,20,lower body,calf raises on leg press
17,2026-03-28,2,59,3,reps,10,lower body,Plate Overhead 1.5 Rep Squat
18,2026-04-01,1,73,3,time,30 sec,full body,Alternating Jumping Lunge
18,2026-04-01,1,56,3,time,30 sec,full body,Forward Kick Sit
18,2026-04-01,1,88,3,reps,10,full body,Push Up
18,2026-04-01,1,28,3,reps,20,full body,calf raises on leg press
18,2026-04-01,1,40,3,reps,8,full body,Inchworm
18,2026-04-01,1,4,3,reps,14,full body,Alternating Renegade Row
18,2026-04-01,1,46,3,time,30 sec,full body,Box Step Up Transfer
18,2026-04-01,1,61,3,reps,12,full body,Double Dumbbell Clean
